feature,importance,std
tenure,0.03973,0.00228
Contract_Month-to-month,0.0282,0.00404
InternetService_Fiber optic,0.0059,0.00339
TotalCharges,0.0045,0.00106
Contract_Two year,0.00447,0.00129
OnlineSecurity_No,0.00389,0.00113
TechSupport_No,0.00274,0.00082
PaymentMethod_Electronic check,0.00244,0.00095
TenureGroup,0.00206,0.00041
PaperlessBilling_Yes,0.00177,0.00127
MultipleLines_No,0.00115,0.00071
SeniorCitizen,0.001,0.00033
LongTenure,0.00048,0.00034
Dependents_Yes,0.00043,0.0004
Contract_One year,0.00042,0.00043
ChargePerMonth,0.00042,0.00146
PhoneService_Yes,0.00037,0.00021
MultipleLines_No phone service,0.00035,0.0002
PaymentMethod_Mailed check,0.00028,0.00023
MonthlyCharges,0.00026,0.00142
StreamingMovies_Yes,0.00025,0.00032
StreamingTV_Yes,9e-05,0.00048
OnlineBackup_No,8e-05,0.00089
DeviceProtection_No,8e-05,0.00011
PaymentMethod_Credit card (automatic),6e-05,0.00017
TechSupport_No internet service,6e-05,0.00031
StreamingMovies_No internet service,5e-05,0.00039
StreamingTV_No internet service,3e-05,0.00033
Partner_Yes,-0.0,9e-05
DeviceProtection_No internet service,-1e-05,0.00029
OnlineSecurity_No internet service,-1e-05,0.00029
ServiceCount,-1e-05,0.0002
InternetService_No,-1e-05,0.0003
OnlineBackup_No internet service,-2e-05,0.00037
gender_Male,-6e-05,0.00025
HighSpender,-7e-05,0.00024
OnlineSecurity_Yes,-7e-05,0.00032
TechSupport_Yes,-8e-05,0.00029
StreamingMovies_No,-8e-05,0.00023
OnlineBackup_Yes,-0.00015,0.00017
DeviceProtection_Yes,-0.00016,5e-05
MultipleLines_Yes,-0.00017,0.00016
StreamingTV_No,-0.00018,0.00018
InternetService_DSL,-0.00019,0.00116
PaymentMethod_Bank transfer (automatic),-0.00029,0.00012
